Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
22147,MERDRIGNAC,22230,,MERDRIGNAC,48.193667485,-2.396224664
22152,MINIHY TREGUIER,22220,,MINIHY TREGUIER,48.767972513,-3.259389123
22153,MONCONTOUR,22510,,MONCONTOUR DE BRETAGNE,48.358238515,-2.633786769
22157,LE MOUSTOIR,22340,,LE MOUSTOIR,48.273660501,-3.49127303
22166,PENVENAN,22710,PORT BLANC,PENVENAN,48.816972706,-3.301924259
22168,PERROS GUIREC,22700,,PERROS GUIREC,48.812104419,-3.466956832
22169,PEUMERIT QUINTIN,22480,,PEUMERIT QUINTIN,48.363361135,-3.285099446
22178,PLEHEDEL,22290,,PLEHEDEL,48.694654588,-3.006755586
22179,FREHEL,22240,,FREHEL,48.634581636,-2.361916102
22179,FREHEL,22240,SABLES D OR LES PINS,FREHEL,48.634581636,-2.361916102
22180,PLELAN LE PETIT,22980,,PLELAN LE PETIT,48.426818936,-2.22411872
22181,PLELAUFF,22570,,PLELAUFF,48.198310035,-3.203805807
22183,PLEMET,22210,LA FERRIERE,PLEMET,48.174589649,-2.597019243
22186,PLENEUF VAL ANDRE,22370,,PLENEUF VAL ANDRE,48.583591123,-2.529606692
22187,PLERIN,22190,,PLERIN,48.543995224,-2.769716199
22188,PLERNEUF,22170,,PLERNEUF,48.505787794,-2.88048429
22203,PLOEUC L HERMITAGE,22150,PLOEUC SUR LIE,PLOEUC L HERMITAGE,48.340742832,-2.795292566
22209,BEAUSSAIS SUR MER,22650,PLOUBALAY,BEAUSSAIS SUR MER,48.560466315,-2.136524705
22214,PLOUEZEC,22470,LE QUESTEL,PLOUEZEC,48.738584393,-2.979238556
22216,PLOUGONVER,22810,,PLOUGONVER,48.485023131,-3.374817472
22224,PLOULEC H,22300,LE YAUDET,PLOULEC H,48.71803918,-3.500180988
22225,PLOUMAGOAR,22970,,PLOUMAGOAR,48.530550126,-3.109403481
22226,PLOUMILLIAU,22300,,PLOUMILLIAU,48.683792046,-3.513471005
22228,PLOUNEVEZ MOEDEC,22810,,PLOUNEVEZ MOEDEC,48.551149025,-3.445164456
22229,PLOUNEVEZ QUINTIN,22110,,PLOUNEVEZ QUINTIN,48.28537131,-3.240792192
22232,PLOURHAN,22410,,PLOURHAN,48.631090986,-2.881998192
22239,PLUMAUDAN,22350,,PLUMAUDAN,48.356482801,-2.115088618
22242,PLURIEN,22240,,PLURIEN,48.609774553,-2.400184693
22243,PLUSQUELLEC,22160,,PLUSQUELLEC,48.399278508,-3.4840892
22245,PLUZUNET,22140,,PLUZUNET,48.636741845,-3.37148292
22248,POMMERIT LE VICOMTE,22200,,POMMERIT LE VICOMTE,48.61825596,-3.102894322
22251,PORDIC,22590,,PORDIC,48.567376479,-2.830210008
22251,PORDIC,22590,LA VILLE LOUAIS,PORDIC,48.567376479,-2.830210008
22256,QUEMPER GUEZENNEC,22260,,QUEMPER GUEZENNEC,48.699959286,-3.108934343
22259,QUEVERT,22100,,QUEVERT,48.463001441,-2.085788252
22262,QUINTIN,22800,,QUINTIN,48.40333741,-2.911691362
22264,LA ROCHE JAUDY,22450,POMMERIT JAUDY,LA ROCHE JAUDY,48.731681808,-3.233237382
22274,ST ANDRE DES EAUX,22630,,ST ANDRE DES EAUX,48.373142744,-2.013146235
22275,ST BARNABE,22600,,ST BARNABE,48.138231608,-2.702078881
22284,ST CONNAN,22480,,ST CONNAN,48.412455613,-3.075119081
22286,ST DENOUAL,22400,,ST DENOUAL,48.518755854,-2.383679307
22287,ST DONAN,22800,,ST DONAN,48.465810862,-2.886521009
22288,ST ETIENNE DU GUE DE L ISLE,22210,,ST ETIENNE DU GUE DE L ISLE,48.085702153,-2.643117223
22294,ST GILLES PLIGEAUX,22480,,ST GILLES PLIGEAUX,48.379694715,-3.086908606
22295,ST GILLES VIEUX MARCHE,22530,,ST GILLES VIEUX MARCHE,48.250201246,-2.969558154
22299,ST HELEN,22100,,ST HELEN,48.466004612,-1.959266327
22311,ST LORMEL,22130,,ST LORMEL,48.551527395,-2.235622513
22324,ST QUAY PERROS,22700,,ST QUAY PERROS,48.781532784,-3.449716642
22325,ST QUAY PORTRIEUX,22410,,ST QUAY PORTRIEUX,48.654096289,-2.84326682
22327,ST SAMSON SUR RANCE,22100,LA HISSE ST SAMSON,ST SAMSON SUR RANCE,48.491427043,-2.01862491
22331,STE TREPHINE,22480,,STE TREPHINE,48.265763057,-3.169670965
22337,SEVIGNAC,22250,,SEVIGNAC,48.332359693,-2.319798664
22340,TONQUEDEC,22140,,TONQUEDEC,48.6758572,-3.400382454
22342,TREBEDAN,22980,,TREBEDAN,48.40593828,-2.162915474
22343,TREBEURDEN,22560,,TREBEURDEN,48.771011102,-3.558020545
22351,TREFFRIN,22340,,TREFFRIN,48.29850839,-3.526766904
22380,TREVRON,22100,,TREVRON,48.388856965,-2.068150871
22383,TROGUERY,22450,,TROGUERY,48.759726244,-3.224558185
22003,AUCALEUC,22100,,AUCALEUC,48.451791839,-2.127617919
22004,BEGARD,22140,BOTLEZAN,BEGARD,48.634782583,-3.291535083
22005,BELLE ISLE EN TERRE,22810,,BELLE ISLE EN TERRE,48.531064511,-3.381836707
22011,BOQUEHO,22170,,BOQUEHO,48.468321251,-2.984925986
22015,BREHAND,22510,,BREHAND,48.393711255,-2.588788044
22026,CALORGUEN,22100,,CALORGUEN,48.405091903,-2.025984997
22029,CANIHUEL,22480,,CANIHUEL,48.337249841,-3.095904413
22040,COADOUT,22970,,COADOUT,48.514938411,-3.178680872
22046,LE MENE,22330,COLLINEE,LE MENE,48.282633111,-2.531186445
22046,LE MENE,22330,PLESSALA,LE MENE,48.282633111,-2.531186445
22050,DINAN,22100,LEHON,DINAN,48.446122862,-2.051305632
22057,LE FAOUET,22290,,LE FAOUET,48.67894472,-3.073897699
22059,LE FOEIL,22800,,LE FOEIL,48.417427349,-2.91498171
22061,GLOMEL,22110,,GLOMEL,48.205708613,-3.388055268
22064,GOUAREC,22570,,GOUAREC,48.235573754,-3.19559282
22072,GURUNHUEL,22390,,GURUNHUEL,48.508439203,-3.288755414
22073,LA HARMOYE,22320,,LA HARMOYE,48.346019399,-2.968783102
22075,HEMONSTOIR,22600,,HEMONSTOIR,48.157234687,-2.850013854
22093,LAMBALLE ARMOR,22400,MESLIN,LAMBALLE ARMOR,48.485734593,-2.472990332
22094,LANCIEUX,22770,,LANCIEUX,48.600845234,-2.148315939
22105,LANGUENAN,22130,,LANGUENAN,48.511472449,-2.133207954
22107,BON REPOS SUR BLAVET,22570,ST GELVEN,BON REPOS SUR BLAVET,48.223995004,-3.123600422
22109,LANLOUP,22580,,LANLOUP,48.709665867,-2.968621964
22112,LANNEBERT,22290,,LANNEBERT,48.650554383,-3.009094544
22113,LANNION,22300,,LANNION,48.743719598,-3.46130389
22117,LANTIC,22410,,LANTIC,48.60420815,-2.898801204
22119,LANVELLEC,22420,,LANVELLEC,48.606768949,-3.52790284
22129,LOC ENVEL,22810,,LOC ENVEL,48.509789897,-3.409769302
22135,LOUARGAT,22540,ST ELOI,LOUARGAT,48.561117357,-3.340901278
22136,LOUDEAC,22600,,LOUDEAC,48.17440042,-2.750533945
22140,LA MALHOURE,22640,,LA MALHOURE,48.396390224,-2.494407859
22150,LE MERZER,22200,,LE MERZER,48.581754896,-3.074995937
22155,LA MOTTE,22600,,LA MOTTE,48.231344629,-2.705128661
22156,MOUSTERU,22200,,MOUSTERU,48.528822719,-3.234921168
22161,PABU,22200,,PABU,48.582715843,-3.143189452
22163,PAULE,22340,,PAULE,48.227635809,-3.460930916
22174,PLEBOULLE,22550,,PLEBOULLE,48.594827848,-2.333589634
22175,PLEDELIAC,22270,,PLEDELIAC,48.468676854,-2.371622581
22182,PLELO,22170,,PLELO,48.554037429,-2.927614501
22187,PLERIN,22190,LES ROSAIRES,PLERIN,48.543995224,-2.769716199
22187,PLERIN,22190,ST LAURENT DE LA MER,PLERIN,48.543995224,-2.769716199
22193,PLESTAN,22640,,PLESTAN,48.414680231,-2.441318157
22195,PLEUBIAN,22610,,PLEUBIAN,48.842891237,-3.134523886
22198,PLEUMEUR BODOU,22560,,PLEUMEUR BODOU,48.785426229,-3.518763251
22198,PLEUMEUR BODOU,22560,ILE GRANDE,PLEUMEUR BODOU,48.785426229,-3.518763251
22200,PLEVEN,22130,,PLEVEN,48.491284536,-2.321190205
22202,PLEVIN,22340,,PLEVIN,48.223693027,-3.516379949
22206,CHATELAUDREN PLOUAGAT,22170,CHATELAUDREN,CHATELAUDREN PLOUAGAT,48.530385904,-2.989575344
22209,BEAUSSAIS SUR MER,22650,PLESSIX BALISSON,BEAUSSAIS SUR MER,48.560466315,-2.136524705
22211,PLOUBEZRE,22300,,PLOUBEZRE,48.685542393,-3.448411567
22213,PLOUER SUR RANCE,22490,,PLOUER SUR RANCE,48.525076621,-2.006473125
22214,PLOUEZEC,22470,,PLOUEZEC,48.738584393,-2.979238556
22217,PLOUGRAS,22780,,PLOUGRAS,48.496584203,-3.564564426
22222,PLOUHA,22580,KEREGAL,PLOUHA,48.682031087,-2.931519031
22235,PLOUZELAMBRE,22420,,PLOUZELAMBRE,48.647968105,-3.536868904
22237,PLUDUNO,22130,,PLUDUNO,48.523804319,-2.280574254
22241,PLUMIEUX,22210,,PLUMIEUX,48.106145862,-2.591222727
22246,POMMERET,22120,,POMMERET,48.458489726,-2.622224727
22250,PONTRIEUX,22260,,PONTRIEUX,48.699798194,-3.15915353
22258,QUESSOY,22120,L HOPITAL,QUESSOY,48.426865219,-2.656445334
22260,LE QUILLIO,22460,,LE QUILLIO,48.240376846,-2.897916144
22272,ST AGATHON,22200,,ST AGATHON,48.563040721,-3.100814066
22280,ST CARNE,22100,,ST CARNE,48.419213025,-2.055108626
